name,state_id,lat,lon,population,is_capital
Brady,TX,31.1351682,-99.3350553,5528,0
Centerville,IA,40.7341804,-92.8740876,5528,0
Jeanerette,LA,29.9110378,-91.6634483,5530,0
Monument,CO,39.0916586,-104.872758,5530,0
Morris Plains,NJ,40.8217665,-74.4809884,5532,0
Anamosa,IA,42.1083371,-91.2851594,5533,0
Lebanon,KY,37.5697869,-85.2527381,5539,0
Selma,TX,29.5843948,-98.3058463,5540,0
Los Fresnos,TX,26.0717438,-97.4763733,5542,0
Milton,WI,42.7755645,-88.943999,5546,0
Germantown,OH,39.6261682,-84.3693882,5547,0
Monticello,IL,40.0278116,-88.5733979,5548,0
Ocean City,FL,30.4410321,-86.6135641,5550,0
Rusk,TX,31.7960064,-95.1502214,5551,0
Cameron,TX,30.8532454,-96.9769304,5552,0
Parkville,MO,39.1950029,-94.6821806,5554,0
Rupert,ID,42.6190756,-113.6772348,5554,0
Spring Valley,IL,41.3275352,-89.1998077,5558,0
Lake Fenton,MI,42.8461392,-83.7077293,5559,0
Algona,IA,43.0699663,-94.233019,5560,0
Naples Manor,FL,26.0887041,-81.7261977,5562,0
Rockwood,TN,35.8656284,-84.68494,5562,0
Hampshire,IL,42.0978028,-88.5303643,5563,0
Crozet,VA,38.0695815,-78.700575,5565,0
Duquesne,PA,40.3814581,-79.8597708,5565,0
Greenacres,CA,35.3832927,-119.1098266,5566,0
Harrisville,UT,41.2813324,-111.9882754,5567,0
Stroudsburg,PA,40.9867609,-75.1946248,5567,0
Ocean Shores,WA,46.9736986,-124.1562852,5569,0
Fowler,CA,36.6305058,-119.6784697,5570,0
Clarinda,IA,40.7419352,-95.038313,5572,0
Bisbee,AZ,31.4481547,-109.9284084,5575,0
Paoli,PA,40.0420522,-75.4763084,5575,0
Prairie View,TX,30.0932737,-95.9877339,5576,0
Hidden Valley Lake,CA,38.8079573,-122.5583155,5579,0
Marvin,NC,34.9918154,-80.814794,5579,0
Three Points,AZ,32.076745,-111.3137147,5581,0
Gray,LA,29.6977108,-90.786481,5584,0
Coal City,IL,41.2878097,-88.2856185,5587,0
Sayre,PA,41.9789631,-76.515499,5587,0
Battlefield,MO,37.1156073,-93.3701899,5590,0
Snowflake,AZ,34.5133698,-110.0784491,5590,0
Kingston,MA,41.9945473,-70.7244822,5591,0
Belle Fourche,SD,44.6713733,-103.852148,5594,0
Rockdale,TX,30.6554759,-97.0013744,5595,0
Finderne,NJ,40.5631587,-74.5776568,5600,0
Keyes,CA,37.5565994,-120.9154858,5601,0
Titusville,PA,41.6270036,-79.6736631,5601,0
Elburn,IL,41.8922499,-88.4723014,5602,0
Paola,KS,38.5722354,-94.8791294,5602,0
Collinsville,OK,36.3684858006,-95.8626596885,5606,0
Chester,SC,34.7048613,-81.2142561,5607,0
Milliken,CO,40.3294268,-104.85525,5610,0
Aberdeen,MS,33.8251139,-88.5436553,5612,0
